Property_ID,Location,Area_sqft,Bedrooms,Bathrooms,Age,Parking,Furnished,Property_Type,Price
63,Hyderabad,1954,3,3,3,Yes,Yes,Independent House,13043000
64,Coimbatore,1971,4,4,4,No,No,Apartment,13369500
65,Madurai,1988,2,2,5,Yes,Semi,Villa,12946000
66,Chennai,2005,2,2,6,Yes,Yes,Independent House,13022500
67,Bangalore,2022,3,3,7,No,No,Apartment,13349000
68,Hyderabad,2039,3,3,8,Yes,Semi,Villa,13425500
69,Coimbatore,2056,2,2,9,Yes,Yes,Independent House,13252000
70,Madurai,2073,2,2,10,No,No,Apartment,13328500
71,Chennai,2090,4,4,1,Yes,Semi,Villa,13905000
72,Bangalore,2107,3,3,2,Yes,Yes,Independent House,13731500
73,Hyderabad,2124,2,2,3,No,No,Apartment,13558000
74,Coimbatore,2141,2,2,4,Yes,Semi,Villa,13634500
75,Madurai,2158,3,3,5,Yes,Yes,Independent House,13961000
76,Chennai,2175,3,3,6,No,No,Apartment,14037500
77,Bangalore,2192,2,2,7,Yes,Semi,Villa,13864000
78,Hyderabad,2209,3,3,8,Yes,Yes,Independent House,14190500
79,Coimbatore,2226,3,3,9,No,No,Apartment,14267000
80,Madurai,2243,3,3,10,Yes,Semi,Villa,14343500
81,Chennai,2260,2,2,1,Yes,Yes,Independent House,14170000
82,Bangalore,2277,2,2,2,No,No,Apartment,14246500
83,Hyderabad,2294,3,3,3,Yes,Semi,Villa,14573000
84,Coimbatore,2311,3,3,4,Yes,Yes,Independent House,14649500
85,Madurai,2328,3,3,5,No,No,Apartment,14726000
86,Chennai,2345,2,2,6,Yes,Semi,Villa,14552500
87,Bangalore,2362,3,3,7,Yes,Yes,Independent House,14879000
88,Hyderabad,2379,3,3,8,No,No,Apartment,14955500
89,Coimbatore,2396,2,2,9,Yes,Semi,Villa,14782000
90,Madurai,2413,2,2,10,Yes,Yes,Independent House,14858500
91,Chennai,2430,3,3,1,No,No,Apartment,15185000
92,Bangalore,2447,4,4,2,Yes,Semi,Villa,15511500
93,Hyderabad,2464,2,2,3,Yes,Yes,Independent House,15088000
94,Coimbatore,2481,2,2,4,No,No,Apartment,15164500
95,Madurai,2498,3,3,5,Yes,Semi,Villa,15491000
96,Chennai,915,3,3,6,Yes,Yes,Independent House,8367500
97,Bangalore,932,2,2,7,No,No,Apartment,8194000
98,Hyderabad,949,2,2,8,Yes,Semi,Villa,8270500
99,Coimbatore,966,4,4,9,Yes,Yes,Independent House,8847000
100,Madurai,983,3,3,10,No,No,Apartment,8673500
