Property_ID,Location,Area_sqft,Bedrooms,Bathrooms,Age,Parking,Furnished,Property_Type,Price,Price_per_sqft,Total_Rooms,Market_Segment,Latitude,Longitude
89,2,2396,2,2,9,1,1,2,14782000,6169.449081803005,4,1,13.121803185644081,80.23241264458899
90,4,2413,2,2,10,1,2,1,14858500,6157.687525901368,4,1,13.018053731290488,80.16046307272511
91,1,2430,3,3,1,0,0,0,15185000,6248.971193415638,6,1,12.929898561484576,80.12327569195146
92,0,2447,4,4,2,1,1,2,15511500,6338.986514098897,8,1,13.07831119680575,80.32430393948833
93,3,2464,2,2,3,1,2,1,15088000,6123.376623376624,4,1,13.090196262154224,80.32510451429083
94,2,2481,2,2,4,0,0,0,15164500,6112.253123740427,4,1,13.040319299392374,80.25827536431831
95,4,2498,3,3,5,1,1,2,15491000,6201.361088871097,6,1,13.09274179498864,80.18475744776217
96,1,915,3,3,6,1,2,1,8367500,9144.808743169398,6,2,13.023448899091099,80.18730239365316
97,0,932,2,2,7,0,0,0,8194000,8791.845493562232,4,2,13.030683207345499,80.28148891971756
98,3,949,2,2,8,1,1,2,8270500,8714.963119072709,4,2,13.006885254589637,80.32427756498814
99,2,966,4,4,9,1,2,1,8847000,9158.385093167703,8,2,12.906354781686025,80.32177160606628
100,4,983,3,3,10,0,0,0,8673500,8823.499491353,6,2,12.926972856748327,80.2949688864644
